open_time,regime_label,close,reject_reason,specialist_pred_proba,specialist_pred_label,actual_label,threshold,band_name,band_min,band_max
2025-12-07 14:30:00,compression,3030.37,outside_band_or_negative_prediction,0.2103917724332889,0.0,1.0,0.78,ge_0.78,0.78,
2025-12-07 18:30:00,compression,3031.55,outside_band_or_negative_prediction,0.3821237248579159,0.0,0.0,0.78,ge_0.78,0.78,
2025-12-07 19:30:00,range,2942.65,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-07 20:30:00,range,3027.01,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-07 21:30:00,range,3039.97,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 03:30:00,high_volatility,3033.59,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 04:30:00,trend_up,3059.85,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 05:30:00,trend_up,3063.23,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 06:30:00,trend_up,3098.25,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 07:30:00,trend_up,3109.77,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 08:30:00,trend_up,3111.01,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 09:30:00,trend_up,3128.44,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 10:30:00,trend_up,3130.63,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 11:30:00,trend_up,3130.53,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 12:30:00,trend_up,3134.31,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-08 20:30:00,range,3101.54,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-09 11:30:00,range,3113.06,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-09 20:30:00,range,3245.88,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-10 02:30:00,trend_up,3301.9,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-10 05:30:00,trend_up,3305.98,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-10 06:30:00,trend_up,3302.93,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-10 15:30:00,high_volatility,3312.36,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-10 16:30:00,range,3318.39,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-10 17:30:00,range,3324.56,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-11 08:30:00,trend_down,3191.42,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-11 19:30:00,trend_down,3159.76,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-11 20:30:00,trend_down,3179.25,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-11 21:30:00,trend_down,3175.08,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-11 22:30:00,trend_down,3181.52,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-11 23:30:00,trend_down,3203.47,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-12 00:30:00,trend_down,3194.51,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-12 01:30:00,range,3221.73,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-12 05:30:00,high_volatility,3189.24,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-12 06:30:00,trend_up,3234.7,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-12 21:30:00,range,3069.46,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-12 22:30:00,trend_down,3066.3,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-13 00:30:00,trend_down,3073.74,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-13 07:30:00,trend_down,3084.73,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-14 02:30:00,compression,3111.63,outside_band_or_negative_prediction,0.02603360927845354,0.0,0.0,0.78,ge_0.78,0.78,
2025-12-14 05:30:00,compression,3119.31,outside_band_or_negative_prediction,0.08917222196932444,0.0,0.0,0.78,ge_0.78,0.78,
2025-12-14 14:30:00,compression,3109.16,outside_band_or_negative_prediction,0.33632992905681197,0.0,0.0,0.78,ge_0.78,0.78,
2025-12-14 15:30:00,compression,3107.57,outside_band_or_negative_prediction,0.058113005674762575,0.0,0.0,0.78,ge_0.78,0.78,
2025-12-14 16:30:00,compression,3084.84,outside_band_or_negative_prediction,0.6908192248925887,1.0,0.0,0.78,ge_0.78,0.78,
2025-12-14 17:30:00,compression,3098.54,outside_band_or_negative_prediction,0.07321142989432494,0.0,0.0,0.78,ge_0.78,0.78,
2025-12-14 18:30:00,compression,3101.54,outside_band_or_negative_prediction,0.2394141315445904,0.0,0.0,0.78,ge_0.78,0.78,
2025-12-15 03:30:00,range,3074.24,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-15 04:30:00,range,3063.5,non_compression_regime,,,,0.78,ge_0.78,0.78,
