run_ts,strategy_name,open_time,regime_label,close,specialist_pred_proba,specialist_pred_label,actual_label,decision,reject_reason,threshold,required_regime,required_label,current_equity_before,current_equity_after
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 20:30:00,range,3954.56,0.9999982813380328,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 21:30:00,range,3970.97,0.9999996568645099,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 22:30:00,range,4032.69,0.9999989765769524,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 03:30:00,range,4024.86,0.9999997192610119,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 04:30:00,range,4009.5,0.9999996562605411,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 05:30:00,range,4016.99,0.9999982849488573,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 06:30:00,range,4033.19,0.9999943614573482,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 07:30:00,range,4032.44,0.9999952711500522,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 08:30:00,range,4051.01,0.9999996616653876,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 09:30:00,range,4080.92,0.9999995822463128,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 11:30:00,range,4162.23,0.9999988102490438,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 13:30:00,high_volatility,4189.89,0.9999991151107303,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 20:30:00,high_volatility,4209.57,0.9999955459925526,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 21:30:00,range,4207.77,0.9999957751798961,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-09 22:30:00,range,4235.0,0.9999991977018927,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-10 00:30:00,high_volatility,4258.57,0.9999991371943914,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-10 03:30:00,high_volatility,4264.28,0.9999829391959636,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-10 04:30:00,range,4260.62,0.9999968756327395,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-10 16:30:00,range,4180.57,0.9999993747467467,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-10 18:30:00,range,4167.45,0.9999966411462061,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-10 19:30:00,range,4219.37,0.999996947193772,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-10 20:30:00,range,4217.94,0.9999594068423868,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-10 22:30:00,range,4224.01,0.9999966303611441,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-11 05:30:00,range,4262.94,0.999997789398384,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-11 19:30:00,range,4277.64,0.9999974576810334,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 02:30:00,high_volatility,4219.94,0.9999945975611427,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 11:30:00,range,4290.84,0.9999990626498567,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 14:30:00,range,4288.01,0.9999997220692851,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 15:30:00,range,4277.39,0.9999993686851218,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 16:30:00,range,4290.94,0.9999988033363911,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 18:30:00,range,4383.49,0.9999972946976724,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 19:30:00,trend_up,4415.71,0.9999982737435836,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 20:30:00,trend_up,4472.62,0.999998482160689,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 21:30:00,trend_up,4465.75,0.9999962285475568,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 22:30:00,trend_up,4500.25,0.9999985328970428,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-12 23:30:00,trend_up,4490.28,0.999999042441614,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 00:30:00,trend_up,4516.97,0.999999114337431,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 02:30:00,trend_up,4586.48,0.9999990953952581,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 03:30:00,trend_up,4576.4,0.9999991805264635,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 04:30:00,trend_up,4590.52,0.9999991814722929,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 06:30:00,trend_up,4585.23,0.9999991112772013,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 07:30:00,trend_up,4623.52,0.9999984436341189,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 19:30:00,range,4648.35,0.9999996875135979,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 20:30:00,range,4664.38,0.9999981123236652,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 21:30:00,range,4700.53,0.9999968392214894,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-13 23:30:00,range,4716.43,0.999999125564787,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-14 01:30:00,range,4717.58,0.9999992168087773,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-14 02:30:00,range,4721.16,0.9999975599057982,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-14 03:30:00,high_volatility,4734.31,0.9999960954081101,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-14 05:30:00,high_volatility,4716.47,0.9999985926077731,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-14 10:30:00,range,4731.74,0.9999988816310788,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-14 13:30:00,range,4726.72,0.9999991719736561,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-14 17:30:00,high_volatility,4567.33,0.9999993658099245,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-14 18:30:00,trend_down,4612.7,0.9999990364865696,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-15 02:30:00,trend_down,4477.9,0.9999993902447183,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-15 03:30:00,trend_down,4531.62,0.9999993041754608,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-15 04:30:00,trend_down,4546.84,0.9999925143716856,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-15 05:30:00,trend_down,4562.98,0.9999979379214716,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-15 06:30:00,trend_down,4604.02,0.9999983667937085,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-15 23:30:00,trend_down,4396.54,0.9999990469043158,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-16 00:30:00,trend_down,4383.45,0.9999990226040715,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-16 01:30:00,trend_down,4425.99,0.9999948974067022,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-16 02:30:00,trend_down,4428.83,0.9999842238722366,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-16 04:30:00,trend_down,4439.47,0.9999970089375018,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-16 11:30:00,range,4419.15,0.9999991015909753,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-16 20:30:00,range,4400.42,0.9999954452780291,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-16 22:30:00,range,4404.35,0.9999884083638244,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-17 02:30:00,range,4408.37,0.999998382293604,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-17 08:30:00,compression,4452.77,6.410317170070893e-05,0,1,reject,pred_label_not_required_label,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-17 11:30:00,range,4457.12,0.9999680333038208,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-17 12:30:00,range,4467.12,0.9999942376824544,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-17 13:30:00,trend_up,4535.51,0.9999968625000593,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
